ID,grain,raw.material,cycle,vlcount,vlmax,vlmin,vlmean,vlsd,vlmedian
DAC3-2,coarse,dacite,0-125,1408,38,1,15.041193181818304,10.11580461717789,14
DAC3-2,coarse,dacite,125-250,1113,23,1,9.118598382749376,4.9090967730558805,9
DAC3-2,coarse,dacite,250-500,841,14,1,4.816884661117716,2.5113552207950236,4
DAC3-4,coarse,dacite,0-125,237,8,1,2.6793248945147687,1.5859936360174383,3
DAC3-4,coarse,dacite,125-250,3512,72,1,37.370159453303984,21.43596634182577,43
DAC3-4,coarse,dacite,250-500,779,13,1,5.228498074454432,2.7471245407890708,5
DAC3-6,coarse,dacite,0-125,2822,48,1,21.65060240963889,12.972901349926214,21
DAC3-6,coarse,dacite,125-250,4,1,1,1,0,1
DAC3-6,coarse,dacite,250-500,1615,21,1,10.837770897832835,4.592131083764762,11
FLT10-2,fine,flint,0-125,1645,41,1,20.472340425531918,10.048301580510866,22
FLT10-2,fine,flint,125-250,1293,53,1,22.30549110595502,13.980812011444156,19
FLT10-2,fine,flint,250-500,2025,80,2,51.66567901234558,17.48102676573284,49
FLT10-5,fine,flint,0-125,154,5,1,1.8571428571428574,0.9318515648619013,2
FLT10-5,fine,flint,125-250,1773,56,1,36.57698815566857,13.609988802810017,37
FLT10-5,fine,flint,250-500,58,2,1,1.3448275862068966,0.47946330148538424,1
FLT10-6,fine,flint,0-125,1206,33,1,17.24543946931998,9.469380658505072,19
FLT10-6,fine,flint,125-250,955,19,1,10.407329842931984,5.06587099544119,11
FLT10-6,fine,flint,250-500,992,21,1,9.443548387096731,5.112344205859983,10
OBS4-4,fine,obsidian,0-125,3122,44,1,20.83984625240262,10.18281976506986,21
OBS4-4,fine,obsidian,125-250,3172,46,1,25.79886506935684,10.021353359290645,27
OBS4-4,fine,obsidian,250-500,1033,52,1,28.182962245885832,11.717790263460785,27
OBS4-5,fine,obsidian,0-125,2545,47,1,21.74499017681695,11.937657414826216,21
OBS4-5,fine,obsidian,125-250,6082,76,1,41.4853666557059,16.578205615687217,44
OBS4-5,fine,obsidian,250-500,1549,69,1,20.63718528082651,19.675141028749472,13
OBS4-6,fine,obsidian,0-125,2674,56,1,22.993268511593417,16.54114210928439,19
OBS4-6,fine,obsidian,125-250,522,15,1,6.32950191570883,3.8417160848979655,6
OBS4-6,fine,obsidian,250-500,6001,106,1,68.58173637727127,31.937512317823796,80
QTZ1-1,coarse,quartzite,0-125,1909,25,1,11.491356731272978,5.120513446828732,12
QTZ1-1,coarse,quartzite,125-250,251,5,1,2.1633466135458157,1.1068925672252417,2
QTZ1-1,coarse,quartzite,250-500,1723,30,1,14.997678467788928,8.207599333892267,16
QTZ1-2,coarse,quartzite,0-125,3541,47,1,23.680598700931863,12.077992279123402,26
QTZ1-2,coarse,quartzite,125-250,141,4,1,1.8085106382978728,0.9174101249637597,2
QTZ1-2,coarse,quartzite,250-500,1404,42,1,20.368945868945794,9.069655454539998,21
QTZ1-5,coarse,quartzite,0-125,6141,111,1,48.78602833414587,27.402699768415317,44
QTZ1-5,coarse,quartzite,125-250,51,2,1,1.3529411764705883,0.482639799923906,1
QTZ1-5,coarse,quartzite,250-500,628,12,1,5.595541401273899,2.665649980410022,5
