ID,rawmaterial,vlcount,vlmax,vlmin,vlmean,vlsd,vlmedian
DAC3-2,dacite,10,962,865,932.5,28.729582121724096,942
DAC3-4,dacite,10,972,955,965.4,6.040603354706289,967.5
DAC3-6,dacite,10,975,931,963.9,14.35618333680648,968.5
FLT10-2,flint,10,972,953,965.6,5.719362823873924,968
FLT10-5,flint,10,968,900,936,21.99494891509816,934.5
FLT10-6,flint,10,961,904,945.4,18.40410582210152,952
OBS4-4,obsidian,10,970,959,965.7,3.591656999213594,966
OBS4-5,obsidian,10,969,953,959.8,5.902918298980975,960.5
OBS4-6,obsidian,10,962,927,951.8,11.013123484683572,955.5
QTZ1-1,quartzite,10,910,855,883.3,19.11398557194298,890
QTZ1-2,quartzite,10,935,863,907.7,21.515110968805157,914.5
QTZ1-5,quartzite,10,929,850,899.3,23.99097052365049,903
